,F1-score
456,0.8613
457,0.8555
458,0.8497
459,0.8786
460,0.8786
461,0.8497
462,0.8613
463,0.8555
464,0.8555
465,0.8671
466,0.8555
467,0.8613
468,0.8728
469,0.8844
470,0.8497
471,0.8613
472,0.8497
473,0.8671
474,0.8671
475,0.8497
476,0.8728
477,0.8728
478,0.8728
479,0.8671
480,0.8613
481,0.8613
482,0.8382
483,0.8613
484,0.8613
485,0.8613
486,0.8497
487,0.8671
488,0.8555
489,0.8728
490,0.8613
491,0.8555
492,0.8497
493,0.8555
494,0.8728
495,0.8671
496,0.8613
497,0.8555
498,0.8497
499,0.8613
